periode_data;triwulan;bulan;wilayah;kecamatan;kelurahan;jumlah_rata_rata_ketinggian_air;jumlah_rw_terdampak;jumlah_kk_terdampak;jumlah_jiwa_terdampak;jumlah_kejadian;jumlah_korban_meninggal;jumlah_korban_luka;jumlah_pengungsi;jumlah_tempat_pengungsian;nilai_kerugian
202403;1;2;jakarta barat;grogol petamburan;jelambar baru;30 s.d 50 cm;2;0;0;1;0;0;0;0;0
202403;1;2;jakarta barat;kembangan;joglo;30 s.d 120 cm;2;0;0;2;0;0;0;0;0
202403;1;2;jakarta barat;cengkareng;kapuk;30 s.d 50 cm;1;0;0;1;0;0;0;0;0
202403;1;2;jakarta barat;cengkareng;kedaung kali angke;30 s.d 60 cm;1;50;223;1;0;0;223;2;0
202403;1;2;jakarta barat;kebon jeruk;kedoya selatan;40 cm;1;0;0;1;0;0;0;0;0
202403;1;2;jakarta barat;kebon jeruk;kedoya utara;30 s.d 40 cm;1;0;0;1;0;0;0;0;0
202403;1;2;jakarta barat;kebon jeruk;kelapa dua;60 cm;1;0;0;1;0;0;0;0;0
202403;1;2;jakarta barat;kembangan;kembangan selatan;00 s.d 180 cm;1;0;0;1;0;0;0;0;0
202403;1;2;jakarta barat;kembangan;kembangan utara;30 s.d 90 cm;2;0;0;1;0;0;0;0;0
202403;1;2;jakarta barat;taman sari;mangga besar;30 cm;1;0;0;1;0;0;0;0;0
202403;1;2;jakarta barat;cengkareng;rawa buaya;30 s.d 80 cm;3;0;0;2;0;0;0;0;0
202403;1;2;jakarta barat;kembangan;srengseng;50 cm;1;0;0;1;0;0;0;0;0
202403;1;2;jakarta barat;kebon jeruk;sukabumi selatan;30 s.d 160 cm;1;26;78;2;0;0;0;0;0
202403;1;2;jakarta barat;kebon jeruk;sukabumi utara;30 s.d 120 cm;2;0;0;3;0;0;0;0;0
202403;1;2;jakarta barat;kali deres;tegal alur;30 s.d 45 cm;5;11;41;3;0;0;41;1;0
202403;1;2;jakarta selatan;kebayoran lama;cipulir;10 s.d 30 cm;1;0;0;1;0;0;0;0;0
202403;1;2;jakarta selatan;mampang prapatan;kuningan barat;40 s.d 60 cm;1;0;0;1;0;0;0;0;0
202403;1;2;jakarta selatan;pancoran;pancoran;50 cm;1;0;0;1;0;0;0;0;0
202403;1;2;jakarta selatan;mampang prapatan;pela mampang;30 cm;1;0;0;1;0;0;0;0;0
202403;1;2;jakarta selatan;mampang prapatan;tegal parang;80 cm;3;0;0;1;0;0;0;0;0
202403;1;2;jakarta timur;jatinegara;bidara cina;40 cm;1;0;0;1;0;0;0;0;0
202403;1;2;jakarta timur;kramat jati;cawang;30 s.d 50 cm;1;0;0;1;0;0;0;0;0
202403;1;2;jakarta timur;kramat jati;cililitan;40 s.d 50 cm;1;0;0;1;0;0;0;0;0
202403;1;2;jakarta timur;makasar;cipinang melayu;50 s.d 70 cm;2;0;0;1;0;0;0;0;0
202403;1;2;jakarta timur;jatinegara;cipinang muara;30 s.d 60 cm;1;0;0;1;0;0;0;0;0
202403;1;2;jakarta timur;kramat jati;dukuh;30 s.d 50 cm;1;0;0;1;0;0;0;0;0
202403;1;2;jakarta timur;jatinegara;kampung melayu;30 s.d 100 cm;4;0;0;1;0;0;0;0;0
202403;1;2;jakarta timur;makasar;makasar;30 cm;1;0;0;1;0;0;0;0;0
202403;1;2;jakarta timur;ciracas;rambutan;30 s.d 50 cm;1;0;0;1;0;0;0;0;0
202403;1;2;jakarta timur;cakung;rawa terate;25 s.d 120 cm;2;15;47;3;0;0;47;1;0
202403;1;2;jakarta utara;kelapa gading;pegangsaan dua;40 s.d 70 cm;1;0;0;1;0;0;0;0;0
202403;1;2;jakarta utara;penjaringan;pluit;10 s.d 40 cm;1;0;0;2;0;0;0;0;0
202403;1;2;jakarta utara;koja;rawa badak selatan;0 cm;1;0;0;1;0;0;0;0;0
202403;1;2;jakarta utara;cilincing;semper barat;45 cm;1;0;0;1;0;0;0;0;0
202403;1;3;jakarta barat;cengkareng;cengkareng barat;30 s.d 60 cm;2;0;0;1;0;0;0;0;0
202403;1;3;jakarta barat;cengkareng;cengkareng timur;30 s.d 55 cm;1;0;0;2;0;0;0;0;0
202403;1;3;jakarta barat;cengkareng;duri kosambi;30 s.d 60 cm;3;0;0;1;0;0;0;0;0
202403;1;3;jakarta barat;kembangan;joglo;25 s.d 80 cm;1;0;0;1;0;0;0;0;0
202403;1;3;jakarta barat;kali deres;kalideres;30 s.d 40 cm;1;0;0;1;0;0;0;0;0
202403;1;3;jakarta barat;kali deres;kamal;30 s.d 40 cm;2;0;0;2;0;0;0;0;0
202403;1;3;jakarta barat;cengkareng;kapuk;30 s.d 60 cm;3;0;0;1;0;0;0;0;0
202403;1;3;jakarta barat;cengkareng;kedaung kali angke;30 s.d 35 cm;1;0;0;1;0;0;0;0;0
202403;1;3;jakarta barat;kali deres;pegadungan;30 s.d 50 cm;1;0;0;1;0;0;0;0;0
202403;1;3;jakarta barat;cengkareng;rawa buaya;30 s.d 50 cm;2;0;0;1;0;0;0;0;0
202403;1;3;jakarta barat;kali deres;semanan;20 s.d 50 cm;1;0;0;1;0;0;0;0;0
202403;1;3;jakarta barat;kebon jeruk;sukabumi selatan;30 s.d 70 cm;1;0;0;4;0;0;0;0;0
202403;1;3;jakarta barat;kali deres;tegal alur;30 s.d 70 cm;3;131;470;1;0;0;470;6;0
202403;1;3;jakarta selatan;pesanggrahan;bintaro;30 cm;1;0;0;1;0;0;0;0;0
202403;1;3;jakarta selatan;pasar minggu;cilandak timur;40 s.d 100 cm;1;314;975;3;0;0;0;0;0
202403;1;3;jakarta selatan;cilandak;gandaria selatan;30 cm;1;0;0;1;0;0;0;0;0
202403;1;3;jakarta selatan;tebet;manggarai;50 cm;1;0;0;1;0;0;0;0;0
202403;1;3;jakarta selatan;pasar minggu;pejaten timur;30 s.d 130 cm;3;0;0;5;0;0;0;0;0
202403;1;3;jakarta selatan;cilandak;pondok labu;40 cm;1;0;0;1;0;0;0;0;0
202403;1;3;jakarta selatan;kebayoran lama;pondok pinang;30 s.d 38 cm;1;0;0;1;0;0;0;0;0
202403;1;3;jakarta selatan;pancoran;rawa jati;30 s.d 40 cm;1;0;0;2;0;0;0;0;0
202403;1;3;jakarta selatan;jagakarsa;tanjung barat;30 s.d 80 cm;1;6;15;2;0;0;0;0;0
202403;1;3;jakarta timur;kramat jati;bale kambang;40 s.d 100 cm;1;0;0;2;0;0;0;0;0
202403;1;3;jakarta timur;jatinegara;bidara cina;30 s.d 130 cm;2;0;0;4;0;0;0;0;0
202403;1;3;jakarta timur;kramat jati;cawang;30 s.d 220 cm;2;0;0;5;0;0;0;0;0
202403;1;3;jakarta timur;kramat jati;cililitan;30 s.d 150 cm;2;0;0;5;0;0;0;0;0
202403;1;3;jakarta timur;jatinegara;kampung melayu;30 s.d 160 cm;4;392;1228;5;0;0;0;0;0
202403;1;3;jakarta timur;cakung;rawa terate;40 s.d 50 cm;1;0;0;1;0;0;0;0;0
202403;1;3;jakarta utara;cilincing;semper barat;30 s.d 50 cm;1;98;368;1;0;0;0;0;0
